Report,Section,Sub section,Heading,Heading,Domain Agreement,Construct Agreement,WB CFIR domain,WB CFIR construct,Confidence/ Notes,SE CFIR domain,SE CFIR construct,Confidence/ Notes,Consensus Convo,Domain Consensus,Construct Consensus
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Barriers to Adoption and Use of Help@Hand Technologies,Access issues are a barrier to adoption and use of Help@Hand Technologies,Agree,Agree,Outer setting,Local conditions,Depends what the access issues are - could be about the individual also,Outer Setting,Local Conditions,,,Outer setting,Local conditions
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Barriers to Adoption and Use of Help@Hand Technologies,Resource requirements are a barrier to adoption and use of Help@Hand Technologies,Disagree,Disagree,Inner setting,Available resources (no subconstruct),,Implementation Process,Assessing Context,,SE had Implementation Process        Assessing Context,Inner setting,Available resources (no subconstruct)
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Barriers to Adoption and Use of Help@Hand Technologies,Support needed for use is a barrier to adoption and use of Help@Hand Technologies,Agree,Agree,Individuals,Innovation recipients,These are all quite vague...,Individuals,Innovation Recipients,,,Individuals,Innovation recipients
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Barriers to Adoption and Use of Help@Hand Technologies,Usability is a barrier to adoption and use of Help@Hand Technologies,Agree,Agree,Innovation,Design,,Innovation,Design,,,Innovation,Design
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Barriers to Adoption and Use of Help@Hand Technologies,Privacy concerns are a barrier to adoption and use of Help@Hand Technologies,Agree,Agree,Individuals,Innovation recipients,,Individuals,Innovation Recipients,,,Individuals,Innovation recipients
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Barriers to Adoption and Use of Help@Hand Technologies,Stigma is a barrier to adoption and use of Help@Hand Technologies,Agree,Agree,Individuals,Innovation recipients,,Individuals,Innovation Recipients,,,Individuals,Innovation recipients
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Barriers to Adoption and Use of Help@Hand Technologies,Peer vetting and matching is a barrier to adoption and use of Help@Hand Technologies,Agree,Disagree,Implementation process,Planning,,Implementation Process,Assessing Context,,SE had Implementation Process	Assessing Context,Implementation process,Planning
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Barriers to Adoption and Use of Help@Hand Technologies,Relationship with provider is a barrier to adoption and use of Help@Hand Technologies,Agree,Agree,Inner setting,Relational connections,,Inner Setting,Relational Connections,,,Inner setting,Relational connections
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,Accessible using various devices and platforms,Agree,Disagree,Innovation,Complexity,,Innovation,Design,,Will had complexity,Innovation,Design
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,Language used can be understood by those with low literacy,Agree,Agree,Innovation,Adaptability,,Innovation,Adaptability,,,Innovation,Adaptability
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,"Options for assistive technology and accessibility (e.g., vision impaired)",Agree,Agree,Innovation,Adaptability,,Innovation,Adaptability,,,Innovation,Adaptability
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,Reliable internet access,Agree,Agree,Outer setting,Local conditions,,Outer Setting,Local Conditions,,,Outer setting,Local conditions
1,User Experience and Technology Evaluation,Heuristic Evalution and User Evaluation,Facilitators to Adoption and Use of Help@Hand Technologies,Understanding smartphone access and/or data plans,Disagree,Agree,Individuals,Innovation recipients,,Inner Setting,Innovation Recipients,,,Individuals,Innovation recipients
